Heuristic,Tree with gini and max_depth 4,Tree with gini max_depth 4 and impurity decrease,Tree with entropy and max_depth 4,Tree with entropy max_depth 4 and impurity decrease,Tree with gini and max_depth 3,Tree with gini max_depth 3 and impurity decrease,Tree with entropy and max_depth 3,Tree with entropy max_depth 3 and impurity decrease,Small NN with lbfgs,Medium NN with lbfgs,Mixed NN with lbfgs,Big NN with lbfgs,Small NN with adam,Medium NN with adam,Mixed NN with adam,Big NN with adam,K-Neighbors (2 groups),K-Neighbors (3 groups),K-Neighbors (5 groups),K-Neighbors (8 groups),Linear Division SVC,Polynomial  Division SVC,RBF Division SVC,Random Forest with gini (3 trees),Random Forest with gini (5 trees),Random Forest with gini (10 trees),Random Forest with entropy (3 trees),Random Forest with entropy (5 trees),Random Forest with entropy (10 trees),Average
Earliest Start,0.828671329,1,0.835664336,1,0.828671329,1,0.835664336,1,0.737762238,0.923076923,0.91958042,0.912587413,0.363636364,0.72027972,0.716783217,0.77972028,0.583916084,0.688811189,0.622377622,0.496503497,0.846153846,0.70979021,0.79020979,0.891608392,0.91958042,0.947552448,0.891608392,0.91958042,0.951048951,0.815891006
Shortest Activity,0.996503497,1,1,1,0.996503497,1,1,1,0.982517483,0.986013986,0.440559441,0.98951049,0.440559441,0.944055944,0.961538462,0.926573427,0.793706294,0.832167832,0.793706294,0.702797203,0.982517483,0.937062937,0.965034965,0.98951049,0.947552448,1,0.986013986,0.93006993,1,0.914637087
Longest Activity,1,1,0.993006993,1,1,1,0.993006993,1,0.951048951,0.905594406,0.874125874,0.912587413,0.48951049,0.912587413,0.944055944,0.912587413,0.744755245,0.793706294,0.755244755,0.692307692,0.926573427,0.898601399,0.933566434,0.993006993,0.958041958,0.986013986,0.993006993,0.961538462,0.986013986,0.914154811
Longest Job Remaining Time,0.996503497,1,1,1,1,1,1,1,0.965034965,0.933566434,0.916083916,0.933566434,0.335664336,0.898601399,0.923076923,0.800699301,0.552447552,0.671328671,0.555944056,0.402097902,0.86013986,0.800699301,0.909090909,0.986013986,0.898601399,0.986013986,0.926573427,0.828671329,0.940559441,0.86279238
Most Loaded Machine,0.727272727,0.70979021,0.70979021,0.70979021,0.730769231,0.70979021,0.70979021,0.70979021,0.332167832,0.632867133,0.643356643,0.646853147,0.332167832,0.622377622,0.70979021,0.604895105,0.632867133,0.699300699,0.65034965,0.615384615,0.65034965,0.762237762,0.744755245,0.727272727,0.727272727,0.734265734,0.713286713,0.713286713,0.713286713,0.666385339
Least Loaded Machine,0.70979021,0.744755245,0.748251748,0.744755245,0.692307692,0.744755245,0.748251748,0.744755245,0.660839161,0.678321678,0.667832168,0.678321678,0.412587413,0.695804196,0.653846154,0.576923077,0.681818182,0.734265734,0.660839161,0.566433566,0.685314685,0.660839161,0.72027972,0.678321678,0.702797203,0.744755245,0.678321678,0.702797203,0.748251748,0.685073547
Hyper-Heuristic,0.758741259,0.402097902,0.437062937,0.402097902,0.587412587,0.402097902,0.437062937,0.402097902,0.43006993,0.437062937,0.402097902,0.468531469,0.402097902,0.506993007,0.409090909,0.409090909,0.58041958,0.601398601,0.555944056,0.482517483,0.402097902,0.559440559,0.573426573,0.465034965,0.468531469,0.465034965,0.461538462,0.461538462,0.461538462,0.476971305
Simple Hyper-Heuristic 1,0.877622378,0.332167832,0.762237762,0.332167832,0.804195804,0.332167832,0.762237762,0.332167832,0.573426573,0.56993007,0.597902098,0.597902098,0.332167832,0.629370629,0.643356643,0.706293706,0.555944056,0.625874126,0.548951049,0.451048951,0.531468531,0.597902098,0.737762238,0.646853147,0.583916084,0.576923077,0.604895105,0.576923077,0.65034965,0.581866409
Simple Hyper-Heuristic 2,0.98951049,0.944055944,0.926573427,0.926573427,0.98951049,0.944055944,0.926573427,0.926573427,0.853146853,0.853146853,0.86013986,0.825174825,0.475524476,0.874125874,0.888111888,0.93006993,0.713286713,0.751748252,0.72027972,0.660839161,0.828671329,0.84965035,0.895104895,0.958041958,0.877622378,0.93006993,0.958041958,0.965034965,0.961538462,0.869061973
Simple Hyper-Heuristic 3,0.776223776,0.370629371,0.692307692,0.370629371,0.758741259,0.370629371,0.692307692,0.370629371,0.374125874,0.625874126,0.681818182,0.632867133,0.370629371,0.671328671,0.678321678,0.671328671,0.63986014,0.692307692,0.660839161,0.615384615,0.636363636,0.734265734,0.727272727,0.660839161,0.688811189,0.702797203,0.671328671,0.674825175,0.713286713,0.618157704
Average,0.866083916,0.75034965,0.81048951,0.748601399,0.838811189,0.75034965,0.81048951,0.748601399,0.686013986,0.754545455,0.70034965,0.75979021,0.395454545,0.747552448,0.752797203,0.731818182,0.647902098,0.709090909,0.652447552,0.568531469,0.734965035,0.751048951,0.79965035,0.79965035,0.777272727,0.807342657,0.788461538,0.773426573,0.812587413,0.740499156
